Campaign,Ad group,Keyword,Criterion type,Final URL
"01_Brand","Marka","fazlalıkat","Exact","https://fazlalikat.com/"
"01_Brand","Marka","fazlalikat","Exact","https://fazlalikat.com/"
"01_Brand","Marka","fazlalıkat eşya tahliye","Phrase","https://fazlalikat.com/"
"02_Generic","Eşya tahliye","eşya tahliye istanbul","Phrase","https://fazlalikat.com/cop-atim-hizmeti"
"02_Generic","Eşya tahliye","ücretli eşya tahliye","Phrase","https://fazlalikat.com/cop-atim-hizmeti"
"02_Generic","Çöp atım","çöp atım hizmeti istanbul","Phrase","https://fazlalikat.com/cop-atim-hizmeti"
"02_Generic","Çöp atım","evden çöp attırma","Phrase","https://fazlalikat.com/cop-atim-hizmeti"
"02_Generic","Ev boşaltma","daire boşaltma istanbul","Phrase","https://fazlalikat.com/ev-bosaltma"
"02_Generic","Ev boşaltma","ev boşaltma fiyatları","Phrase","https://fazlalikat.com/blog/daire-bosaltma-fiyatlari-2026"
"02_Generic","Moloz","moloz atımı istanbul","Phrase","https://fazlalikat.com/moloz-atimi"
"02_Generic","Moloz","inşaat molozu taşıma","Phrase","https://fazlalikat.com/moloz-atimi"
"03_Items","Koltuk","eski koltuk nereye atılır","Phrase","https://fazlalikat.com/blog/eski-koltuk-nereye-atilir"
"03_Items","Koltuk","koltuk attırma istanbul","Phrase","https://fazlalikat.com/blog/eski-koltuk-nereye-atilir"
"03_Items","Baza","eski baza nereye atılır","Phrase","https://fazlalikat.com/blog/eski-baza-nereye-atilir"
"03_Items","Yatak","eski yatak nereye atılır","Phrase","https://fazlalikat.com/blog/eski-yatak-nereye-atilir"
"03_Items","Beyaz eşya","eski buzdolabı nereye atılır","Phrase","https://fazlalikat.com/blog/eski-buzdolabi-ve-beyaz-esya-atma-rehberi"
"03_Items","Halı","eski halı nereye atılır","Phrase","https://fazlalikat.com/blog/eski-hali-nereye-atilir"
"03_Items","Fiyat","eşya atma ücreti 2026","Phrase","https://fazlalikat.com/blog/esya-atma-ucreti-2026"
"03_Items","Fiyat","koltuk atma ücreti","Phrase","https://fazlalikat.com/blog/eski-koltuk-takimi-atma-ucreti"
"04_Intent","Belediye","belediye büyük eşya almıyor","Phrase","https://fazlalikat.com/blog/belediye-buyuk-esya-almiyor-ne-yapmali"
"04_Intent","Belediye","alo 153 büyük atık","Phrase","https://fazlalikat.com/blog/alo-153-buyuk-atik-randevu-alternatifi"
"04_Intent","Yasal","çöpe koltuk atmak yasak mı","Phrase","https://fazlalikat.com/blog/cope-koltuk-atmak-yasak-mi"
"04_Intent","Hurdacı","hurdacı mı profesyonel eşya attırma","Phrase","https://fazlalikat.com/blog/hurdaci-mi-profesyonel-esya-attirma-hizmeti-mi"
"04_Intent","Acil","aynı gün eşya tahliye","Phrase","https://fazlalikat.com/blog/ayni-gun-esya-tahliye-istanbul"
"05_Yaka","Avrupa","avrupa yakası çöp atım","Phrase","https://fazlalikat.com/avrupa-yakasi-esya-tahliye"
"05_Yaka","Avrupa","avrupa yakası eşya tahliye","Phrase","https://fazlalikat.com/avrupa-yakasi-esya-tahliye"
"05_Yaka","Anadolu","anadolu yakası eşya tahliye","Phrase","https://fazlalikat.com/anadolu-yakasi-esya-tahliye"
"05_Yaka","Anadolu","anadolu yakası çöp atım","Phrase","https://fazlalikat.com/anadolu-yakasi-esya-tahliye"
"06_Ilce_Avrupa","Beşiktaş","beşiktaş eşya tahliye","Phrase","https://fazlalikat.com/besiktas-esya-tahliye"
"06_Ilce_Avrupa","Beşiktaş","beşiktaş eski koltuk nereye atılır","Phrase","https://fazlalikat.com/besiktas-eski-koltuk-nereye-atilir"
"06_Ilce_Avrupa","Şişli","şişli eşya tahliye","Phrase","https://fazlalikat.com/sisli-esya-tahliye"
"06_Ilce_Avrupa","Bağcılar","bağcılar çöp atım","Phrase","https://fazlalikat.com/bagcilar-esya-tahliye"
"06_Ilce_Avrupa","Esenyurt","esenyurt eski eşya attırma","Phrase","https://fazlalikat.com/esenyurt-esya-tahliye"
"06_Ilce_Avrupa","Küçükçekmece","küçükçekmece eşya tahliye","Phrase","https://fazlalikat.com/kucukcekmece-esya-tahliye"
"06_Ilce_Avrupa","Bakırköy","bakırköy hurda mobilya","Phrase","https://fazlalikat.com/blog/bakirkoy-hurda-mobilya-alanlar"
"07_Ilce_Anadolu","Kadıköy","kadıköy eşya tahliye","Phrase","https://fazlalikat.com/kadikoy-esya-tahliye"
"07_Ilce_Anadolu","Kadıköy","kadıköy eski eşya nereye atılır","Phrase","https://fazlalikat.com/blog/kadikoy-eski-esya-nereye-atilir"
"07_Ilce_Anadolu","Üsküdar","üsküdar eşya tahliye","Phrase","https://fazlalikat.com/uskudar-esya-tahliye"
"07_Ilce_Anadolu","Ümraniye","ümraniye eski eşya","Phrase","https://fazlalikat.com/umraniye-esya-tahliye"
"07_Ilce_Anadolu","Maltepe","maltepe eşya tahliye","Phrase","https://fazlalikat.com/maltepe-esya-tahliye"
"07_Ilce_Anadolu","Kartal","kartal eşya tahliye","Phrase","https://fazlalikat.com/kartal-esya-tahliye"
"07_Ilce_Anadolu","Pendik","pendik eşya tahliye","Phrase","https://fazlalikat.com/pendik-esya-tahliye"
"07_Ilce_Anadolu","Sultanbeyli","sultanbeyli eşya tahliye","Phrase","https://fazlalikat.com/sultanbeyli-esya-tahliye"
